premise,hypothesis,label
@USER werden sie selber erst mal erwachsen und informieren sich über den Klimawandel unserer Erde ! Zudem sollten sie sich auch über die anderen Länder informieren.....dazu gibt es genügend Bildungsmaterial.,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER  @USER, reflexartig AfD? Sie tun mir leid!! Ich rede von Liberalen oder Konservativen! Egal, Sie sind eh schon indoktriniert!!!",Dieser Kommentar ist eine Tatsachenbehauptung,2
Nein wir müssen nichts Ändern! Wir werden auch nichts ändern!! wir machen 5 Kohlekraftwerke zu und in China 🇨🇳 werden 700 Stück neu gebaut... Diesel Fahrverbot in Deutschland und die Autos fahren dann in Polen weiter... das ist Grüne Religion ... bitte schnell in China Freitags Schule Schwänzen das könnte die Welt 🌍 noch retten...,Dieser Kommentar enthält Ironie,2
Die Frage die ich mir stelle ist: warum werden hier eigentlich ganz normale Kommentare am laufenden Band gelöscht???,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER Meistens verläuft das Gespräch so: Woher kommst Du? - aus Hannover Nee, ich meine ""WOHER"" kommst Du? - äh...Hannover Und wo bist Du geboren? - In Hannover Aber heisst Du nicht ""Cem"", wie der Özdemir? - Ja, der kommt auch aus Deutschland. Ist das nicht ein türkischer Name? - Doch, schon, ja. Na dann kommst Du ja doch aus der Türkei und nicht aus Hannover (freu) ... so kann es noch minutenlang weitergehen, und es nervt gewaltig, ist langweilig und als erste Frage übergriffig und nicht grade sehr helle, um nicht zu sagen hirnverbrannt dumm und nicht motivierend, das Gespräch weiterzuführen. Mit jammern hat das ganze rein gar nichts zu tun.",Dieser Kommentar ist eine Respektbekundung,0
Es wird kein Politiker die erforderlichen Maßnahmen vertreten die Klimaveränderungen auch nur bremsen könnten.Er würde nicht wiedergewählt werden.,Dieser Kommentar ist eine Respektbekundung,0
"BKA - Bericht 2018 ( kann jeder recherchieren ! ) : JEDEN Tag ca. 400 ⚠ ""Einzelfälle"" in 🇩🇪 ! ... TÄTER : Menschen, die in Deutschland eine neue #HEIMAT suchen ! ⚠",Dieser Kommentar ist eine Respektbekundung,0
"Gute Kritik, doch wir brauchen nicht nur 13 Euro Mindestlohn (12,68€ Pro Stunde benötigt man laut Bundesregierung um nicht auf Hartz4 angewiesen sein zu müssen) Sondern wir benötigen auch eine sanktionsfreie Mindestsicherung, oder ein Grundeinkommen, für all diejenigen, die kaum oder gar nicht gearbeitet haben bzw. konnten. Jeder Mensch hat das recht auf ein menschenwürdiges Leben mit Teilhabe an der Gesellschaft.",Dieser Kommentar ist eine Tatsachenbehauptung,0
@USER das wird nie passieren dazu gibt es zu viele die noch weniger haben und deshalb ist doch das mit dem Zuzug so gewollt,Dieser Kommentar ist ein Lösungsvorschlag,0
"@USER, organisierte Kriminalität gab es schon immer. Das sind letztlich Verdrängungsmärkte, die jedoch gerade bei Kapitalverbrechen eher zurückhaltend wirken. Wer da sehr viel deutlicher vorgeht, sind Rockerclubs. Aber speziell Mafia oder arabische Familienclans neigen nicht zu übermäßig sichtbarer Kriminalität, da dies die Geschäfte stören würde. Eine Person ohne deutschen Pass verlässt dieses Land sehr viel schneller als ein Deutscher, der im Ausland keinen Fluchtpunkt hat. Ausnahmen wie zB der schwerkriminelle Lutz Bachmann sind eine echte Ausnahme.",Dieser Kommentar ist eine externe Quelle,0
"Och @USER, wie süß, nur wieder auf der Schiene Beleidigung unterwegs. Du bist so süß, komm ich knutsch dich mal.",Dieser Kommentar ist eine externe Quelle,0
https://netzfrauen.org/2015/09/06/organhandel-fluechtlinge-als-billige-ersatzteillager/?fbclid=IwAR1OPInmIRpR0p6egI5AaYYfksnfgkUFMO7LRl5L5dXRH0nPuFQL98wI5Y4,Dieser Kommentar ist eine externe Quelle,0
"Für Deutsche/Einzahler gibt es wieder nix ! Arbeit rechnet sich für viele normale Arbeiter nicht mehr ..so isses korrekt ! Wer zum Mindestlohn ackern muß , hat bei StK 1 netto grad 1147€ ! ALG1 dann ca 769€ und kriegt nach 40 Jahren 514€ Rente . Das ist Fakt und krank 🤬 Das Geld ist da , wird aber hier gebunkert 🤬 https://www.nzz.ch/meinung/kommentare/die-fluechtlingskosten-sind-ein-deutsches-tabuthema-ld.1316333 https://app.handelsblatt.com/politik/deutschland/bundeshaushalt-asylruecklage-waechst-auf-mehr-als-30-milliarden-euro-an/23255758.html?share=fb&ticket=ST-1835264-cgmNTb6ctfzzp9qIjRUW-ap4",Dieser Kommentar enthält Ironie,0
"Danke, dieses Kompliment nehme ich gerne an.",Dieser Kommentar ist ein Lösungsvorschlag,0
"Wen die STIFTUNG Eurotransplat interessiert, kann sich hier in die riesigen Listen der Boardmitglieder und groups mal einlesen - es ist eine Vereinigung von Zwergländern, dann Frankreich, Spanien, Skandinavien lassen sich wohl nicht drauf ein. https://www.eurotransplant.org/cms/index.php?page=organization",Dieser Kommentar ist eine Tatsachenbehauptung,0
"Mein studierender Sohn würde lieber heute als morgen aus der elterlichen Wohnung ausziehen. Leider ist es in Frankfurt am Main fast unmöglich als Student eine bezahlbare Wohnung oder ein Zimmer zu bekommen. Es werden zwar gut ausgebildete Fachkräfte für Deutschlands Zukunft erwartet, aber die Voraussetzungen dafür werden nicht geschaffen.",Dieser Kommentar enthält Ironie,0
